impl,size,workers,iter,seconds
openmp_blocked,2400,4,8,0.82
openmp_bt,2400,4,9,1.81
openmp_blocked,2400,4,9,0.78
openmp_bt,2400,4,10,1.79
openmp_blocked,2400,4,10,0.78
openmp_bt,2400,8,1,1.15
openmp_blocked,2400,8,1,0.63
openmp_bt,2400,8,2,1.16
openmp_blocked,2400,8,2,0.69
openmp_bt,2400,8,3,1.15
openmp_blocked,2400,8,3,0.63
openmp_bt,2400,8,4,1.12
openmp_blocked,2400,8,4,0.66
openmp_bt,2400,8,5,1.15
openmp_blocked,2400,8,5,0.71
openmp_bt,2400,8,6,1.13
openmp_blocked,2400,8,6,0.69
openmp_bt,2400,8,7,1.13
openmp_blocked,2400,8,7,0.67
openmp_bt,2400,8,8,1.18
openmp_blocked,2400,8,8,0.65
openmp_bt,2400,8,9,1.21
openmp_blocked,2400,8,9,0.66
openmp_bt,2400,8,10,1.20
openmp_blocked,2400,8,10,0.64
openmp_bt,2400,16,1,1.26
openmp_blocked,2400,16,1,0.63
openmp_bt,2400,16,2,1.28
openmp_blocked,2400,16,2,0.63
openmp_bt,2400,16,3,1.19
openmp_blocked,2400,16,3,0.61
openmp_bt,2400,16,4,1.30
openmp_blocked,2400,16,4,0.62
openmp_bt,2400,16,5,1.31
openmp_blocked,2400,16,5,0.60
openmp_bt,2400,16,6,1.33
openmp_blocked,2400,16,6,0.60
openmp_bt,2400,16,7,1.08
openmp_blocked,2400,16,7,0.62
openmp_bt,2400,16,8,1.15
openmp_blocked,2400,16,8,0.62
openmp_bt,2400,16,9,1.83
openmp_blocked,2400,16,9,0.74
openmp_bt,2400,16,10,1.44
openmp_blocked,2400,16,10,0.66
openmp_bt,2400,32,1,1.56
openmp_blocked,2400,32,1,0.67
openmp_bt,2400,32,2,1.86
openmp_blocked,2400,32,2,0.62
openmp_bt,2400,32,3,1.34
openmp_blocked,2400,32,3,0.61
openmp_bt,2400,32,4,1.33
openmp_blocked,2400,32,4,0.61
openmp_bt,2400,32,5,1.34
openmp_blocked,2400,32,5,0.60
openmp_bt,2400,32,6,1.32
openmp_blocked,2400,32,6,0.61
openmp_bt,2400,32,7,1.59
openmp_blocked,2400,32,7,0.63
openmp_bt,2400,32,8,1.45
openmp_blocked,2400,32,8,0.62
openmp_bt,2400,32,9,1.58
openmp_blocked,2400,32,9,0.62
openmp_bt,2400,32,10,1.50
openmp_blocked,2400,32,10,0.62
openmp_bt,3000,1,1,9.72
openmp_blocked,3000,1,1,3.29
openmp_bt,3000,1,2,9.65
openmp_blocked,3000,1,2,3.32
openmp_bt,3000,1,3,9.57
openmp_blocked,3000,1,3,3.25
openmp_bt,3000,1,4,9.49
openmp_blocked,3000,1,4,3.25
openmp_bt,3000,1,5,9.57
openmp_blocked,3000,1,5,3.28
openmp_bt,3000,1,6,9.39
openmp_blocked,3000,1,6,3.25
openmp_bt,3000,1,7,9.50
openmp_blocked,3000,1,7,3.22
openmp_bt,3000,1,8,9.53
openmp_blocked,3000,1,8,3.22
openmp_bt,3000,1,9,9.34
openmp_blocked,3000,1,9,3.22
openmp_bt,3000,1,10,9.49
openmp_blocked,3000,1,10,3.26
openmp_bt,3000,2,1,5.86
openmp_blocked,3000,2,1,1.94
openmp_bt,3000,2,2,6.04
openmp_blocked,3000,2,2,1.98
openmp_bt,3000,2,3,5.81
openmp_blocked,3000,2,3,1.98
openmp_bt,3000,2,4,6.17
openmp_blocked,3000,2,4,1.94
openmp_bt,3000,2,5,5.87
openmp_blocked,3000,2,5,1.92
openmp_bt,3000,2,6,6.69
openmp_blocked,3000,2,6,2.30
openmp_bt,3000,2,7,6.01
openmp_blocked,3000,2,7,2.02
openmp_bt,3000,2,8,6.13
openmp_blocked,3000,2,8,2.14
openmp_bt,3000,2,9,5.89
openmp_blocked,3000,2,9,1.99
openmp_bt,3000,2,10,6.42
openmp_blocked,3000,2,10,1.92
openmp_bt,3000,4,1,3.45
openmp_blocked,3000,4,1,1.47
openmp_bt,3000,4,2,3.44
openmp_blocked,3000,4,2,1.42
openmp_bt,3000,4,3,3.54
openmp_blocked,3000,4,3,1.32
openmp_bt,3000,4,4,3.51
openmp_blocked,3000,4,4,1.44
openmp_bt,3000,4,5,3.46
